$	dólar
10	decena
100	centenar cien
1000	mil
1000000000	billón
12	doce
60_minutos	h
9	ix
abalanzarse	aparecer
abandonado	desierto
abandonar	arrojar_la_toalla dejar desalojar desechar desistir entregar irse largarse marcharse rendirse renunciar
abandono	dejadez desaliño desamparo descuido deserción renuncia
abarrotado	rebosante
abarrotar	apiñar apretar apretujar embutir
abastecer	aprovisionar llenar proveer recoger
abastecimiento	abasto aprovisionamiento
abasto	abastecimiento aprovisionamiento bastimento munición pertrechos subsistencia
abatir	caerse demoler deprimir derribar derrocar desalentar desanimar desmoralizar rebajar
abdomen	estómago
abdominal	flexión plancha
abecedario	abecé alfabeto
abecé	abecedario alfabeto
abeja	rayo
abeja_reina	machiega maesa maestra
abejarrón	abejorro abejón
abejorro	abejarrón abejón
abejón	abejarrón abejorro
aberrante	perverso
abertura	claro hendidura raja rasgadura
abierto	comunicativo cándido descarado evidente extrovertido flagrante franco indefendible indefensable indefensible público sincero sociable
abismo	abismo_oceánico averno fosa infierno orco sima
abismo_oceánico	abismo fosa
ablandabrevas	calamidad cantonero follón inútil mequetrefe pelafustán
ablandar	debilitar flaquear
ablandarse	atemperar dulcificarse envejecer moderar serenar
abnegación	renunciamiento
abochornar	avergonzar
abogado	jurista letrado
abogar	defender preconizar recomendar
abolengo	alcurnia ascendencia linaje
abominable	atroz craso escandaloso grave tremendo
abominación	aborrecimiento asco aversión execración hastío horror repugnancia
abonamiento	abono desembolso
abonar	acreditar pagar
abono	abonamiento asiento_de_crédito desembolso pago
abono_orgánico	mantillo
abordar	entrar tratar
aborigen	autóctono endémico indígena nativo natural originario
aborrecer	detestar
aborrecible	detestable intolerable repugnante repulsivo
aborrecimiento	abominación asco aversión execración hastío horror repugnancia
abortar	interrumpir
aborto	engendro monstruo
abra	bahía cala ensenada rada seno
abrasado	calcinado
abrasador	acre amargo cáustico mordaz virulento vitriólico ácido áspero
abrasar	abrasarse achicharrar agostarse arder chamuscar incinerar marchitar pegar_fuerte quemar quemarse
abrasarse	abrasar quemar quemarse
abrasión	arañazo rasgadura rasguño
abrazadera	cárcel
abreviar	acortar contraer encoger reducir
abrigar	albergar amparar esconder
abrigo	amparo asilo protección refugio resguardo
abrillantar	avivar clarear
abrir	aclarar aclararse desarrollar desdoblar despejar despejarse desplegar extender iniciar mejorar
abrirse	florecer
abrumar	cargar oprimir
absolutismo	autoritarismo despotismo dictadura tiranía
absoluto	completo inapelable incondicionado incondicional incuestionable indiscutible perfecto rotundo total
absolver	rechazar
absorber	atraer empapar lavar mojar ocupar remojar
absorción	asimilación
abstención	abstinencia
abstenerse	dejar
abstinencia	abstención
abstracción	generalización
absurdo	disparatado estúpido grotesco incongruente irracional irrisorio ridículo
abucheo	bronca
abuela	abuelita
abuelita	abuela
abuelito	abuelo
abuelo	abuelito anciano
abultar	hinchar
abundamiento	abundancia caudal copiosidad
abundancia	abundamiento caudal copiosidad
abundante	abundoso bueno colmado copioso exuberante nombroso nutritivo sustancioso
abundoso	abundante copioso exuberante nombroso
aburrido	agobiante cargante gris latoso monótono ordinario pesado vulgar
aburrir	cansar fatigar
aburrirse	cansarse fatigarse
abusar	malparar
abuso	exceso
abyecto	bajo despreciable miserable vil
