$	05109766
0	02098747 09894639
1	02098880 09894800
10	02099822 09898220
100	02102426 09901877
1000	02102663 09902316
10000	09902597
100000	09902736
1000000	09902865
1000000000	09903149
11	02099905 09898380
12	02099991 09898493
12.7_Kg	09793320
13	02100114 09898882
14	02100207 09899031
15	02100301 09899152
15_de_agosto_de_1945	10882271
16	02100393 09899271
17	02100485 09899390
18	02100580 09899512
19	02100677 09899636
1_de_enero	10899730
1_de_mayo	10905860
2	02099012 09895309
20	02100771 09899757
21	02100893 09899875
22	02100987 09899996
23	02101082 09900122
24	02101182 09900251
25	02101279 09900392
26	02101375 09900519
27	02101470 09900646
28	02101570 09900775
29	02101671 09900907
3	02099122 09895854
3-D	04964359
30	02101768 09901036
4	02099207 09896114
40	02101858 09901156
5	02099292 09896331
50	02101957 09901273
500	02102542 09902184
6	02099375 09896532
60	02102043 09901389
60_minutos	10938063
6_de_junio_de_1944	10881917
7	02099514 09896726
70	02102143 09901505
8	02099599 09896866
80	02102233 09901626
8_de_mayo_de_1945	10882154
9	02099687 09897050
90	02102337 09901759
A	06046332 09821181
A.M.	04747609
A._ampla	50001991
A._aspera	50001989
A._augustus	50001935
A._auricula	50001964
A._caesarea	50001932
A._campester	50001870
A._citrina	50001936
A._citrinus	50001936
A._crocea	50001937
A._cylichnium	50001990
A._eliae	50001877
A._erebia	50001875
A._haemorrhoidarius	50001873
A._leptospora	50001985
A._mappa	50001936
A._pes	50001876
A._verna	50001938
A._vittadinii	50001939
A._xanthodermus	50001874
AC	10880855
ADN	10639854
AFI	50000465
AM	00133028 04747609
API	07521354
ARN	10640325
ASCDISC	50003191
Abenaqui	50005233
Aberdeen	06504738
Abidjan	06425469
Abnaki	50005233
Abraham_Lincoln	07737009
Abruzos	06461595
Abu_Dhabi	06593103
Abuja	06553124
Academia_de_Las_Artes_y_Las_Letras	50005162
Acadia	06471831
Acapulco	06429391
Acapulco_de_Juárez	06429391
Accra	06535044
Aconcagua	06715911 50004244
Acre	50004245
Acuario	06773182
Adaja	50004177
Addis_Abeba	06448198
Adolf_Hitler	07728377
Adolfo_Suárez	50001562
Adonis	06897084 50004191
Adrianópolis	06517217
Adviento	05457802 10949717
Adán	06928214
Afganistán	06406348
Afrodita	06902559
Ag	10501473
Agaricus_augustus	50001935
Agaricus_augustus_Fr.	50001935
Agaricus_campester	50001870
Agaricus_campester_(L)_Fr.	50001870
Agaricus_citrinus	50001936
Agaricus_citrinus_Schff.	50001936
Agaricus_haemorrhoidarius	50001873
Agaricus_haemorrhoidarius_Kalchbr,_et_Schulz.	50001873
Agaricus_xanthodermus	50001874
Agaricus_xanthodermus_Gen.	50001874
Agincourt	00822230
Agnus_Dei	05151501
Agrocybe_erebia	50001875
Agrocybe_erebia_(Brig._)_Sing.	50001875
Aguarico	50004239
Aguasvivas	50004277
Agüera	50004278
Aigüestortes_y_Sant_Maurici	50005380
Alabama	06598582 06815366
Aladino	06929941
Alagón	50004178
Alarconcillo	50004246
Alaska	06599586
Albacete	50004713 50004879
Albaida	50004247
Albania	06406980
Albany	06627244
Albatrellus_pes	50001876
Albatrellus_pes_-caprae_(Pers,_ex_Fr.)_Pouz.	50001876
Alberche	50004279
Albert_Einstein	07713170
Alberta	06472545
Albuera	50004200
Albufera_de_Alcudia	50000941
Albufera_de_Valencia	50000940
Alburqueque	06626284
Alburrel	50004280
Alcanadre	50004180
Alcarrache	50004281
Alejandro_Magno	07694765
Alejandría	06507776
Alemania	06442182
Alemania_Occidental	06442182
Alemania_Oriental	06443099
Alemania_del_Este	06443099
Alepo	06589245
Alexandría	06507776
Alfambra	50004182
Algar	50004282
Algeria	06407281
Algodor	50004283
Algol	05166060
Algás	50004188
Alhama	50004284
Ali_Baba	07070106
Alicante	50004700 50004893
Aliste	50004190
Aljucén	50004285
Allia	50004193
Allones	50004286
Alma-Ata	06579194
Almanzor	50005756
Almar	50004195
Almería	50004702 50004899
Almonte	50004197
Almántico	50004941
Alpes	06706713 06722463
Alrucea	50005796
Alsacia	06529028
Alt_Camp	50004779
Alt_Empordà	50004801
Alt_Penedès	50004785
Alt_Urgell	50004775
Alta_Normandía	06531230
Alta_Ribagorça	50004763
Altar	50004184
Alzette	50004198
Alá	06891165
Amacuro	50004199
Amahuaca	50005234
Amanita_aspera	50001989
Amanita_aspera_(Fr.)_Hooker	50001989
Amanita_caesarea	50001932
Amanita_caesarea_(Scop,_ex_Fr.)_Pers,_ex_Schw.	50001932
Amanita_citrina	50001936
Amanita_citrina_(Schff.)_S.F._Gray	50001936
Amanita_crocea	50001937
Amanita_crocea_(Quél.)_Sing.	50001937
Amanita_eliae	50001877
Amanita_eliae_Quél.	50001877
Amanita_mappa	50001936
Amanita_mappa_(Batsch_ex_Fr.)_Quél.	50001936
Amanita_verna	50001938
Amanita_verna_(Bull._ex_Fr.)_Pers._ex_Vitt.	50001938
Amanita_vittadinii	50001939
Amanita_vittadinii_(Mor._)_Vitt.	50001939
Amarguillo	50004186
Amarizama	50005235
Amazonas	06815540
Amberes	06491830
Amman	06522949
Ammón	06866681
Ammón-Ra	06866816
Amnistía_Internacional	50005148
Amsterdam	06537161
Amur	06815749
América	06593275 06835671
América_Central	06424551
América_Latina	06581325
América_del_Norte	06836510
América_del_Sur	06837221
Amón	06866681
Amón-Ra	06866816
Anapurna	06713963 06881170
Anatolia	06405026
Anchorage	06600091
Ancohuma	06718833
Andalucía	50004744
Andes	06705891
Andia	50004287
Andoke	50005236
Andorra	06581584
Andrómeda	06774645
Aneto	50000966
Angaité	50005237
Angola	06407876
Anguila	06408275
Angutero	50005238
Anjou	06529171
Ankara	06591663
Ankutere	50005238
Anna_Eleanor_Roosevelt	07753081
Annapolis	06616441
Annapurna	06881170
Anoeta	50004922
Anoia	50004784
Antananarivo	06545532
Antigua	06408680
Antiguo_Testamento	04851992
Antofagasta	06416818
Antártida	06841750
Anubis	06866991
Anzur	50004288
Apache	50001198
Apalache	50005239
Ape	50005240
Apeninos	06708349
Apia	06563722
Apiacá	50005241
Apocalipsis	04854052
Apolista	50005242
Apolo	06902245
Apostemidium_leptospora	50001985
Apostemidium_leptospora_(Berk._&_Broome)_Boud.	50001985
Apulia	06465464
Aqaba	06523078
Aquiles	06933291
Aquitania	06529316
Ara	50004289
Arabia	06489489
Arabia_Saudita	06564910
Aragón	50004290 50004748
Araona	50005243
Arapajó	50005244
Araquil	50004291
Arasa	50005245
Arasaire	50005245
Arba	50004292
Arcadia	06454146
Archipiélago_Hawai	06610086
Archipiélago_Malayo	06485646
Archipiélago_Marshall	06483584
Archipiélago_de_Bismarck	06486410
Archipiélago_de_Filipinas	06555817
Archipiélago_de_Oceanía	06481479
Ardanza	50001542
Ardila	50004293
Ares	06902831
Arevalillo	50004294
Arga	50004295
Argel	06407572
Argentina	06410305
Argo	06852156
Argos	06452390
Arieja	50004462
Aries	06773475
Arinsal	50004296
Aristóteles	07696663
Arizona	06600545
Arkansas	06601076 06816051
Arlanzón	50004297
Armenia	06577655
Arnoya	50004298
Aroá	50005246
Arratia	50004299
Artemis	06903566
Arthur_Stanley_Eddington	07710820
Arthur_Sullivan	07758332
Aruano	50005246
Aruá	50005246
Ascensión	10909705
Ascocoryne_cylichnium	50001990
Ascocoryne_cylichnium_(Tul.)_Korf.	50001990
Aser	50005247
Asia	06837693
Asia_Menor	06405026
Asiria	06518296
Asjabad	06580399
Assam	06509684
Assur	06518449
Aston	50004300
Asunción	06554892 10910256
Asón	50004301
Atenas	06451557
Atenea	06904195
Atiache	50005236
Atila	07698133
Atlanta	06609298
Atlas	06919311
Atlántico	06804072
Augusta	06615857
Auricularia_auricula	50001964
Auricularia_auricula_-judae_Auct.	50001964
Auriculariopsis_ampla	50001991
Auriculariopsis_ampla_(Lév.)_Maire	50001991
Auriga	06769507
Aurora	06916445
Austerlitz	00822843
Austin	06641483
Australasia	06481768
Australia	06478209 06840277
Australia_del_Oeste	06480766
Australia_del_Sur	06480522
Austria	06488337
Austronesia	06481909
Auvernia	06529632
Ave	50004302
Avión	50004303
Ayax	06929817
Ayuda	50004304
Azerbaidzhán	06578068
Aznar	50001564
Azuer	50004305
Azul	06834052
B	06046450
B-52	02230568
B.N.G.	50001229
B._aestivalis	50001992
B._bovinus	50001919
B._castaneus	50001895
B._elegans	50001920
B._erythropus	50001878
B._impolitus	50001879
B._luridus	50001940
B._pinicola	50001941
B._queletii	50001993
B._regius	50001994
B._reticulatus	50001992
B._sanguineus	50001927
B._sulphureus	50001981
B._versicolor	50001927
BNG	50001229
BTU	09883000
Baal	06871364
Babilonia	06517616 06517793
Bach	07698777
Baco	06905863
Bacon	07698910
Badajoz	50004710 50004888
Badiel	50004306
Bagdad	06516233
Bages	50004783
Bahrain	06489832
Bahrein	06490096
Bahía_de_Baffin	50004998
Bahía_de_Bengala	06812880
Bahía_de_Campeche	06813714
Bahía_de_Chesapeake	06813367
Bahía_de_Delaware	06813541
Bahía_de_Fundy	06813855
Bahía_de_Hudson	06812659
Bahía_de_Mobile	06813998
Bahía_de_New_York	06814277
Bahía_de_Nueva_York	06814277
Bahía_de_Palma	50004685
Bahía_de_Pollenza	50004684
Bahía_de_Pollença	50004684
Bahía_de_Sejúbal	50004686
Baiau	50004307
Baix_Camp	50004772
Baix_Ebre	50004773
Baix_Empordà	50004799
Baix_Llobregat	50004793
Baix_Penedès	50004786
Baja_Normandía	06529732
Baja_Sajonia	06443414
Bakú	06578288
Balaidos	50004923
Balaitous	50005617
Baleares	50004756
Bali	06513368
Baltimore	06616604
Balzac	07699043
Bamako	06548044
Banco_Central	06183328
Banco_Central_de_Alemania	06184239
Banco_Central_de_los_Estados_Unidos	06183656
Banco_Central_del_Japón	06184323
Banco_de_Inglaterra	06184150
Banco_de_Japón	06184323
Banco_del_Japón	06184323
Bandoeng	06514230
Bandong	06514230
Bandung	06514230
Bangkok	06590395
Bangladesh	06490404
Bangui	06414904
Baniua	50005248
Baniva	50005248
Banjul	06534704
Barbados	06435521
Barcelona	06583156 50004691
Barcelonès	50004792
Basic	05167165
Basilicata	06461926
Baton_Rouge	06615219
Bavaria	06444320
Bayas	50004308
Bayona	06625443
Bayonne	06625443
Bañuelos	50004309
Beethoven	07700259
Beirut	06542706
Belcebú	06894661
Belfast	06503030
Belgrado	06469757
Belice	06425983
Bella_Durmiente	07584439
Bellacoola	50005249
Bembezar	50004310
Ben_Nevis	06711352
Benamor	50004311
Benin	06437135
Benito_Mussolini	07743240
Bergen	06441173
Berguedà	50004782
Berkeley	07700570
Berlín	06443523
Berlín_Oeste	06443668
Bermudas	06409706
Berna	06587860
Bernard_Shaw	07756720
Bernesga	50004312
Besaya	50004313
Besós	50004236
Bhután	06492200
Biblia	04840831
Bidasoa	50004314
Bielorrusia	06573580
Big_Ben	02287006
Bigfoot	06850793
Bilbao	50004733 50004839
Bilchula	50005249
Birmania	06412275
Birmingham	06498505 06599128
Bismarck	06634706 07700688
Bissau	06536038
Bizancio	06459319
Blackpool	06499279
Blaise_Pascal	07745822
Blanco	06833584
Blenheim	00824585
Bloemfontein	06569068
Bloque_Nacionalista_Galego	50001229
Bloque_Nacionalista_Gallego	50001229
Bodión	50004315
Boedo	50004316
Bogart	07701689
Bogotá	06423230
Boletus_aestivalis	50001992
Boletus_aestivalis_Paulet:_Fr.	50001992
Boletus_bovinus	50001919
Boletus_bovinus_L._ex_Fr.	50001919
Boletus_castaneus	50001895
Boletus_castaneus_Bull	50001895
Boletus_elegans	50001920
Boletus_elegans_Schum	50001920
Boletus_erythropus	50001878
Boletus_erythropus_Fr,_ex_Pers.	50001878
Boletus_impolitus	50001879
Boletus_impolitus_Fr.	50001879
Boletus_luridus	50001940
Boletus_luridus_Schff._ex_Fr.	50001940
Boletus_pinicola	50001941
Boletus_pinicola_Vitt.	50001941
Boletus_queletii	50001993
Boletus_queletii_Schulz.	50001993
Boletus_regius	50001994
Boletus_regius_Krbh.	50001994
Boletus_reticulatus	50001992
Boletus_reticulatus_(Schff.)_Boud._non_Rea	50001992
Boletus_sanguineus	50001927
Boletus_sanguineus_With.	50001927
Boletus_sulphureus	50001981
Boletus_sulphureus_Fr.	50001981
Boletus_versicolor	50001927
Boletus_versicolor_Rosck.	50001927
Bolivia	06492677
Bolonia	06463267
Bombay	06510590
Bonari	50005250
Bonn	06444500
Boole	07701826
Boone	07701954
Bootes	06770186
Borbón	06067349
Borgoña	06529852
Borneo	06486604 06513848
Borodino	00824818
Bosina_y_Herzegovina	06469243
Boston	06617190
Bosworth	00824984
Botsuana	06492341
Boungainville	06486952
Bouvines	00825198
Bowery	06629706
Brahma	06878839
Brahmaputra	06816749
Brahms	07702259
Brasil	06493148
Brasilia	06493672
Braunschweig	06444806
Brazos	06816928
Brazzaville	06423995
Breslau	06558084
Bretaña	06530002
Brighton	06499444
Bristol	06499606
Broadway	06629855
Brujas	06491971
Brunei	06506573
Brunswich	06444806
Bruselas	06491630
Bucarest	06468254
Buda	06885137
Budapest	06538504
Buena_Vista	00825901
Buenos_Aires	06410900
Bujumbura	06412999
Bulgaria	06411689
Bundesbank	06184239
Bunker_Hill	00826306
Burejo	50004317
Burgos	50004724 50004853
Burkina_Faso	06506799
Burlington	06643345
Burrhus_Frederic_Skinner	07757471
Burundi	06412855
Buseo	50004319
Báltico	06807370
Bélgica	06491155
C	02102426 09871620
C.D.C.	50001209
C.E.E.	06076411
C.I.A.	06057154
C.I.O.	50001201
C.N.T.	50001230
C.O.I.	50001201
C.S.I.F.	50001233
C.V.	09809762
C._alexandri	50001999
C._aurantiaca	50001963
C._bulliardi	50001949
C._caelata	50001880
C._calochrous	50001886
C._cancellatus	50001882
C._caulicinalis	50002004
C._cibarius	50001871
C._comatus	50001915
C._cornea	50001995
C._cotoneus	50002002
C._disseminatus	50001947
C._dryophila	50002001
C._elatior	50001950
C._flocculenta	50001991
C._fruticulosa	50001945
C._fusipes	50001946
C._geotropa	50002000
C._glaucopus	50001951
C._hiascens	50001926
C._infractus	50001887
C._inocybeoides	50001883
C._ionides	50001996
C._lactea	50001904
C._majusculus	50002003
C._micaceus	50001884
C._multiformis	50001928
C._nebularis	50001903
C._niveus	50001943
C._odora	50001893
C._orellanus	50001952
C._ruber	50001882
C._rufoolivaceus	50001888
C._rugosa	50001998
C._rutilus	50001929
C._spilosporus	50001885
C._stipitaria	50002004
C._torvus	50001954
C._trivialis	50001889
C._truncatus	50001881
C._tubaeformis	50001944
C._utriformis	50001880
C._variabilis	50001890
C._varius	50001955
C._velutipes	50001957
C._vitellinus	50002003
CC.OO.	50001231
CCOO	50001231
CD	02478312
CD-rom	02408548
CDC	50001209
CEE	06076411
CIA	06057154
CIO	50001201
CIU	50001226
CNT	50001230
COI	50001201
CP	04791907
CPU	02413762
CSIF	50001233
Cabañeros	50005388
Cabeza_de_Manzaneda	50005774
Cabeza_del_Hierro	50005780
Cabo_Verde	06414221
Cabra	50004320
Cabrera	50004966 50005386
Cabriel	50004321
Cachemira	06553772
Cacín	50004322
Cadagua	50004323
Calabria	06462074
Calar_Alto	50005593
Calcuta	06510383
Caldera_de_Taburiente	50005379
Calders	50004324
Calgary	06472887
California	06601656
Calocera_cornea	50001995
Calocera_cornea_(Batsch:_Fr._)	50001995
Calocybe_ionides	50001996
Calocybe_ionides_(Bull.:_Fr.)_Donk.	50001996
Calvatia_caelata	50001880
Calvatia_caelata_(Bull_per_Thore)_Morg.	50001880
Calvatia_utriformis	50001880
Calvatia_utriformis_(Bull,_per_Pers.)_Jaap	50001880
Calvin	07703616
Calvitero	50005755
Calvo_Sotelo	50001563
Calíope	06911700
Camarophyllus_niveus	50001943
Camarophyllus_niveus_(Scop._ex_Fr.)_Karst	50001943
Camboia	06413219
Camboya	06413458
Cambridge	06499094 06617559
Camden	06625568
Camerún	06413595
Camp_Nou	50004921
Campania	06462207
Campeche	06813714
Cana	50005251
Canaan	06458537
Canadian	06817068
Canadá	06471164
Canamari	50005252
Canarias	50004757
Canas	00826537
Canberra	06478714
Canciás	50005604
Cancún	06427822
Canigó	50005558
Canis_Major	06775119
Canis_Minor	06775259
Cannas	00826537
Cantabria	50004752
Cantharellus_aurantiaca	50001963
Cantharellus_aurantiaca_Fr.	50001963
Cantharellus_cibarius	50001871
Cantharellus_cibarius_(Fr.)	50001871
Cantharellus_tubaeformis	50001944
Cantharellus_tubaeformis_Bull._Fr.	50001944
Cantón	06419986
Caos	06904522
Cap_del_Boumort	50005773
Caporetto	00826666
Capricornio	06773002
Caracas	06649991
Carare	50005253
Cardener	50004325
Cardiff	06506227
Carelia	06449394
Cares	50004326
Carl_Friedrich_Gauss	07719549
Carl_Gustav_Jung	07734026
Carl_Jung	07734026
Carlomagno	07705222
Carlos_Belmonte	50004945
Carlos_I_El_Grande	07705222
Carolina_del_Norte	06632935 06633272
Carolina_del_Sur	06639087 06639356
Carolinas	06483421
Carolus_Linnaeus	07737238
Carrión	50004327
Carson	06623190
Cartagena	06583497
Casa_Blanca	03614235
Casablanca	06550965
Casanova	07704387
Casper	06648666
Cassiopea	06769889
Castellón	50004698
Castellón_de_la_Plana	50004698 50004890
Castilla-La_Mancha	50004746
Castilla_y_León	50004749
Catalina_II	07704716
Catalina_II_La_Grande	07704716
Catalunya	50004741
Cataluña	06585050 50004741
Cataratas_Iguazú	06843245
Cataratas_Kukenaam	06842944
Cataratas_Paulo_Afonso	06843696
Cataratas_Tugela	06844021
Cataratas_Twin	06844168
Cataratas_Urubupunga	06844318
Cataratas_Victoria	06844473
Cataratas_Yosemite	06844687
Catoute	50005750
Caucasia	06283823
Cavineño	50005254
Cañadas_del_Teide	50005378
Cañoles	50004328
Cea	50004329
Cebú	06556118
Cedar_Rapids	06613533
Cega	50004330
Ceilán	06415200
Cenia	50004331
Centauro	06773630
Centro	06530219
Centroamérica	06424551
Cepheus	06774805
Ceratiomyxa_fruticulosa	50001945
Ceratiomyxa_fruticulosa_Macbr.	50001945
Cerbero	06854359
Cerdanya	50004781
Cerdeña	06465735 06465864
Ceres	06905407
Ceti	50004332
Ceuta	50004911
Chad	06415632
Chaga	50005255
Chamacoco	50005256
Champaña-Ardenas	06530327
Chancellorsville	00827371
Chang_Jiang	06834052
Changtzu	06715368
Chanza	50004333
Chapultepec	00827603
Charles_Darwin	07708872
Charles_De_Gaulle	50001547
Charles_Franklin_Peirce	07746931
Charles_Robert_Darwin	07708872
Charleston	06639653 06646151
Charlotte	06633957
Charlottetown	06476424
Chatanooga	00827766
Chateau-Thierry	00824115
Chatino	50005258
Chavante	50005343
Chañabal	50005257
Checoslovaquia	06436794
Chelyabinsk	06573251
Chester	06637533
Cheyenne	06648483
Chicago	06612639
Chickamauga	00828073
Chilanga	50005259
Chile	06416037
Chimborazo	06719134
China	06417803
Chinanteca	50005260
Chinipa	50005261
Chippewa	50005204
Chipre	06436334 06436474
Chirac	50001549
Chiriguano	50005263
Chisinau	06575623
Chocho	50005264
Choctaw	50005265
Cholo	50005266
Chongqing	06420724
Chopin	07705669
Chorote	50005267
Chorotí	50005268
Chorti	50005269
Chosen	06540738
Chroogomphus_rutilus	50001929
Chroogomphus_rutilus_(Schff,_ex_Fr.)_O.K._Miller.	50001929
Chuang-tzu	06887055
Chungking	06420724
Churchill	50001550
CiU	50001226
Cibeles	06932964
Cidacos	50004334
Cilindro_de_Marboré	50005615
Cimabue	07706390
Cimarrón	06817536
Cinca	50004179
Cincinnati	06635815
Cinoscéfalos	00829201
Cisne	06771056
Ciudad_Bolívar	06650128
Ciudad_Condal	06583156
Ciudad_Real	50004712 50004883
Ciudad_de_Méjico	06429119
Ciudad_del_Cabo	06568420
Ciudad_del_Vaticano	06649462
Clariano	50004335
Clathrus_cancellatus	50001882
Clathrus_cancellatus_._Toum_ex_Fr.	50001882
Clathrus_ruber	50001882
Clathrus_ruber_._(Mich._ex_Pers.)	50001882
Clavaria_rugosa	50001998
Clavaria_rugosa_Bull.:_Fr.	50001998
Clavariadelphus_truncatus	50001881
Clavariadelphus_truncatus_(Quél._)_Donk	50001881
Clavulina_rugosa	50001998
Clavulina_rugosa_(Fr.)_Schroeter	50001998
Cleopatra	07706564
Cleveland	06635647
Clio	06911796
Clitocybe_alexandri	50001999
